record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
T,4.2,20160831,STIL,STIL,18,211154,12,NA,NA,NA,NA,2,3,2014,20160419,20160503,3F10308  050131 R,3F10308  050131 H,3F10308  050254 S,F,H,P,VO,26.88,NA,NA,5000,33715,0000,525,5000,2094,0000,67,C,0.0594,194,556,NA,NA,HARVEY CR    05.0131,HARVEY CR HATCHERY,FORTSON CR   05.0254,WA,NPS,STIL,N,33715,525,2094,67,0
T,4.2,20180309,USFWS,USFWS,07,055638,12,NA,NA,D,072017Eagle Cre,2,NA,2015,20170411,20170411,5F333    0300210000,5F33301  H1     22,5F333    101,S,H,NA,FR,24.81,136,NA,0000,21603,NA,NA,0000,0,NA,NA,B,0,42,524,NA,EC COS 15 46 Eagle Creek Eagle Creek NFH,EAGLE CR (CLACKAMAS),EAGLE CR NFH,EAGLE CR NFH,OR,LOCR,WILL,N,0,21603,0,0,0
T,4.2,20180103,CDFW,USACE,08,060641,14,0,95572,NA,NA,2,4,2015,20160614,20161130,6FBRR,6FBRRDRC WSFH,6FBRR,G,H,E,FR,7,NA,N,0000,50346,NA,NA,0000,1176,NA,NA,C,NA,20,5190,NA,15% PIT tagged.,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,50346,0,1176,0
N,4.2,20190410,NWIFC,MIT,14,!142018TQ037,NA,NA,NA,NA,NA,2,3,2016,20180521,20180521,3F10510  090113 R,3F10510  090113 H02,3F10510  090113 S,S,H,P,FR,30.24,NA,W,NA,NA,NA,NA,5000,30263,NA,NA,B,NA,NA,NA,NA,"Originally destined for E.B.N.P. *3,263 CWT with TC 210443 released*",CRISP CR     09.0113,KETA CREEK COMPLEX,CRISP CR     09.0113,WA,MPS,DUWA,N,0,0,30263,0,0
T,4.2,20231012,YAKA,YAKA,11,190671,13,NA,NA,NA,NA,2,5,2021,20230426,20230502,3F42001  481408 R01,3F42001  480002 H,3F42001  480002 S,S,H,B,VO,32.4,141,N,0000,65893,NA,NA,0350,3200,NA,NA,NA,0.118,272,705,NA,Smolts released from Early Winters Acclimation Pond in 2023.,EARLY WINTERS AC PD - MEW,WINTHROP NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,65893,0,3200,0
T,4.2,20190118,YAKA,YAKA,11,190485,12,NA,NA,NA,NA,2,5,2016,20180419,20180501,3F42001  480002 R,3F42001  480002 H,3F42001  480002 S,S,H,B,VO,27.1,135,N,0000,226485,NA,NA,0000,15693,NA,NA,B,0.0648,267,2500,NA,CWT non-ad clipped + 4809 PIT released,METHOW R     48.0002,WINTHROP NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,226485,0,15693,0
T,4.2,20231012,YAKA,YAKA,11,190672,13,NA,NA,NA,NA,2,5,2021,20230424,20230508,3F42001  48-001 R,3F42001  480002 H,3F42001  480002 S,S,H,B,VO,28.35,136,N,0000,54881,NA,NA,0350,10963,NA,NA,NA,0.088,276,718,NA,Smolts released from Eight Mile Acclimation Pond in 2023.,MID-VALLEY ACCLIMATION PD,WINTHROP NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,54881,0,10963,0
T,4.2,20231012,YAKA,YAKA,11,190669,13,NA,NA,NA,NA,2,5,2021,20230424,20230613,3F42001  480728 R03,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,30.24,140,N,0000,21835,NA,NA,0350,1128,NA,NA,NA,0.017,327,232,NA,Smolts released from Eight Mile Acclimation Pond in 2023.,EIGHT MILE ACC PD -MEM,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,21835,0,1128,0
T,4.2,20190118,YAKA,YAKA,11,190486,12,NA,NA,NA,NA,2,5,2016,20180420,20180501,3F42001  480002 R,3F42001  480002 H,3F42001  480002 S,S,H,B,VO,25,131,N,0000,24432,NA,NA,0000,397,NA,NA,B,0.016,267,250,NA,CWT non-ad clipped,METHOW R     48.0002,WINTHROP NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,24432,0,397,0
T,4.2,20230531,NWIFC,PUYA,14,211522,12,NA,NA,NA,NA,2,3,2020,20220523,20220523,3F10511  100600 R04,3F10511  100414 H,3F10511  100414 S,S,H,P,FR,32.01,145,NA,5000,51110,NA,NA,5000,10889,NA,NA,B,0.0129,NA,541,NA,NA,KAPOWSIN LK NET PENS,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,N,51110,0,10889,0,0
T,4.2,20180103,CDFW,USACE,08,060640,14,0,97504,NA,NA,2,4,2015,20161102,20161128,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,9.5,91,N,0000,54577,NA,NA,0000,1748,NA,NA,C,NA,26,5640,NA,15% PIT tagged.  9513 released Marin County Walker Creek.,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,54577,0,1748,0
T,4.2,20180103,CDFW,USACE,08,060820,14,0,69440,NA,NA,2,4,2015,20170329,20170522,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,19,120,N,0000,37811,NA,NA,0000,697,NA,NA,C,NA,26,3781,NA,15% PIT tagged.,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,37811,0,697,0
T,4.2,20201119,YAKA,YAKA,11,190519,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,FR,20.9,117,N,0000,41153,NA,NA,0000,123,NA,NA,B,0.997,240,500,NA,NA,ICICLE CR    45.0474,WILLARD NFH,METHOW R     48.0002,WA,UPCR,WECH,N,0,41153,0,123,0
T,4.2,20231012,YAKA,YAKA,11,190676,13,NA,NA,NA,NA,2,5,2021,20230426,20230613,3F42001  480728 R03,5F33405  H5     21,3F42001  480002 S,S,H,B,VO,30.24,140,N,0000,147429,NA,NA,0350,7251,NA,NA,NA,0,NA,NA,NA,Smolts released from Eight Mile Acclimation Pond in 2023.,EIGHT MILE ACC PD -MEM,CASCADE HATCHERY,METHOW R     48.0002,WA,UPCR,MEOK,N,0,147429,0,7251,0
T,4.2,20190118,YAKA,YAKA,11,190487,12,NA,NA,NA,NA,2,5,2016,20180430,20180521,3F42001  480002 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,27.3,133,N,0000,23871,NA,NA,0000,789,NA,NA,B,0.032,302,250,NA,CWT non-ad clipped,METHOW R     48.0002,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,23871,0,789,0
N,4.2,20221208,NWIFC,TP,14,!142016XH005,NA,NA,NA,NA,NA,2,3,2016,20180321,20180521,3F566 16 S70JNV R,3F10412  160001 H,3F10412  160001 S02,S,H,E,FR,31.35,NA,NA,NA,NA,NA,NA,0350,2271,NA,NA,B,NA,NA,NA,NA,pit tagged,LK CUSHMAN (MASO),NF SKOKOMISH HATCHERY,SKOKOMISH R -NF (16),WA,HOOD,SKDO,N,0,0,0,2271,0
T,4.2,20190805,CDFW,USACE,08,061432,14,0,88352,NA,NA,2,4,2017,20180615,20190307,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,10.9,95,N,0000,54044,NA,NA,0000,955,NA,NA,C,NA,24,5404,NA,20% PIT tagged,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,54044,0,955,0
T,4.2,20190118,YAKA,YAKA,11,190488,12,NA,NA,NA,NA,2,5,2016,20180430,20180521,3F42001  480002 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,27.3,133,N,0000,31822,NA,NA,0000,1052,NA,NA,B,0.032,305,250,NA,CWT non-ad clipped,METHOW R     48.0002,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,31822,0,1052,0
T,4.2,20180103,CDFW,USACE,08,060823,14,0,28626,NA,NA,2,4,2015,20161104,20161129,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,9.5,196,N,0000,6514,NA,NA,0000,196,NA,NA,C,NA,21,651,NA,30% PIT tagged.,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,6514,0,196,0
T,4.2,20180103,CDFW,USACE,08,060824,14,0,33082,NA,NA,2,4,2015,20170301,20170303,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,15.8,111,N,0000,15876,NA,NA,0000,528,NA,NA,C,NA,44,1587,NA,15% PIT tagged.,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,15876,0,528,0
T,4.2,20190410,NWIFC,SUQ,14,210443,13,NA,NA,NA,NA,2,3,2016,20180521,20180521,3M10510  888109 R,3F10510  090113 H02,3F10510  090113 S,S,H,P,FR,41.24,NA,W,5000,44925,NA,NA,5000,378273,NA,NA,B,0,NA,495,NA,E.B. Release *3263 CWT released in Keta Creek*,ELLIOTT BAY TRIBAL NP,KETA CREEK COMPLEX,CRISP CR     09.0113,WA,MPS,DUWA,N,44925,0,378273,0,0
T,4.2,20190118,YAKA,YAKA,11,190481,12,NA,NA,NA,NA,2,5,2016,20180501,20180611,3F42001  480374 H01,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,25.6,134,N,0000,77109,NA,NA,0000,1095,NA,NA,B,0.014,294,500,NA,CWT non-ad clipped + 4528 PIT released,TWISP ACCLIMATION PD,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,77109,0,1095,0
T,4.2,20190118,YAKA,YAKA,11,190482,12,NA,NA,NA,NA,2,5,2016,20180430,20180529,3F42001  481059 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,25.4,134,N,0000,54300,NA,NA,0000,438,NA,NA,B,0.008,282,500,NA,CWT non-ad clipped + 3917 PIT released,WOLF CR      48.1059,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,54300,0,438,0
T,4.2,20190118,YAKA,YAKA,11,190000,12,NA,NA,NA,NA,2,5,2016,20180501,20180611,3F42001  480104 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,23,128,N,0000,33175,NA,NA,0000,677,NA,NA,B,0.0199,327,500,NA,CWT non-ad clipped + 3966 PIT released,GOLD  CR     48.0104,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,33175,0,677,0
T,4.2,20201119,YAKA,YAKA,11,190520,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,FR,20.9,117,N,0000,22067,NA,NA,0000,66,NA,NA,B,0.997,240,500,NA,NA,ICICLE CR    45.0474,WILLARD NFH,METHOW R     48.0002,WA,UPCR,WECH,N,0,22067,0,66,0
T,4.2,20190805,CDFW,USACE,08,061433,14,0,39001,NA,NA,2,4,2017,20181120,20181206,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,10.9,95,N,0000,21917,NA,NA,0000,402,NA,NA,C,NA,30,2191,NA,20% PIT tagged,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,21917,0,402,0
T,4.2,20210203,NWIFC,TP,14,211372,12,NA,NA,NA,NA,2,3,2018,20200423,20200423,3F10412  160001 H,3F10412  160001 H,3F10412  160001 S02,S,H,P,FR,30.36,NA,N,5000,11184,0000,67,5000,89,0000,23,B,0.0098,NA,509,NA,NA,NF SKOKOMISH HATCHERY,NF SKOKOMISH HATCHERY,SKOKOMISH R -NF (16),WA,HOOD,SKDO,N,11184,67,89,23,0
T,4.2,20231012,YAKA,YAKA,11,190670,13,NA,NA,NA,NA,2,5,2021,20230421,20230426,3F42001  480728 R02,3F42001  290131 H03,3F42001  480002 S,S,H,B,MX,28.35,130,N,0000,40805,NA,NA,0000,57,NA,NA,NA,0.008,280,519,NA,Smolts released from the Chewuch Acclimation Facility in 2023.,CHEWUCH ACCLIMATION,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,40805,0,57,0
N,4.2,20221208,NWIFC,TP,14,!142018XH002,NA,NA,NA,NA,NA,2,3,2016,20180517,20180517,3F10412  160001 R01,3F10412  160001 H,3F10412  160001 S02,S,H,E,FR,31.5,NA,NA,NA,NA,NA,NA,0350,430,NA,NA,B,NA,NA,NA,NA,NA,NF SKOKOMISH DAM #2 POOL,NF SKOKOMISH HATCHERY,SKOKOMISH R -NF (16),WA,HOOD,SKDO,N,0,0,0,430,0
T,4.2,20190805,CDFW,USACE,08,061434,14,0,55847,NA,NA,2,4,2017,20181115,20190423,6FBRR,6FBRRDRC WSFH,6FBRR,S,H,E,FR,17.8,115,N,0000,25307,NA,NA,0000,110,NA,NA,C,NA,26,2556,NA,20% PIT tagged,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,25307,0,110,0
T,4.2,20201119,YAKA,YAKA,11,190523,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,FR,20.9,117,N,0000,22307,NA,NA,0000,67,NA,NA,B,0.997,240,500,NA,NA,ICICLE CR    45.0474,WILLARD NFH,METHOW R     48.0002,WA,UPCR,WECH,N,0,22307,0,67,0
T,4.2,20190805,CDFW,USACE,08,061556,14,0,36536,NA,NA,2,4,2017,20190319,20190429,6FBRR,6FBRRDRC WSFH,6FBRR,S,H,E,FR,17.8,115,N,0000,20064,NA,NA,0000,244,NA,NA,C,NA,25,2037,NA,20% PIT tagged,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,20064,0,244,0
T,4.2,20180912,NWIFC,MIT,14,211233,13,NA,NA,NA,NA,2,3,2016,20180427,20180501,3F10510  090113 R02,3F10510  090113 H02,3F10510  090072 S,S,H,P,FR,30.24,NA,N,5000,52293,NA,NA,5000,462354,0000,16499,B,0.0038,NA,524,NA,Keta Release,CRISP CR AT KETA CR,KETA CREEK COMPLEX,BIG SOOS CR  09.0072,WA,MPS,DUWA,N,52293,0,462354,16499,0
T,4.2,20231012,YAKA,YAKA,11,190674,13,NA,NA,NA,NA,2,5,2021,20230503,20230515,3F42001  480374 H01,5F33405  H5     21,3F42001  480002 S,S,H,B,VO,26.68,138,N,0000,66737,NA,NA,0000,866,NA,NA,NA,0.013,251,694,NA,Smolts released from the Lower Twisp Ponds in 2023.,TWISP ACCLIMATION PD,CASCADE HATCHERY,METHOW R     48.0002,WA,UPCR,MEOK,N,0,66737,0,866,0
T,4.2,20190805,CDFW,USACE,08,061557,14,0,31495,NA,NA,2,4,2017,20181106,20190429,6FBRR,6FBRRDRC WSFH,6FBRR,V,H,E,FR,9.9,94,N,0000,13073,NA,NA,0000,283,NA,NA,C,NA,23,1307,NA,20% PIT tagged,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,13073,0,283,0
T,4.2,20201119,YAKA,YAKA,11,190524,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,FR,20.9,117,N,0000,22308,NA,NA,0000,67,NA,NA,B,0.997,240,500,NA,NA,ICICLE CR    45.0474,WILLARD NFH,METHOW R     48.0002,WA,UPCR,WECH,N,0,22308,0,67,0
T,4.2,20200113,CDFW,CDFW,08,061431,14,0,70299,NA,NA,2,4,2016,20180411,20180523,6FBRR,6FBRRDRC WSFH,6FBRR,Y,H,E,FR,18.88,119,N,0000,35753,NA,NA,0000,289,NA,NA,C,NA,23,3604,NA,20% PIT tagged. USACE.,RUSSIAN RIVER,WARM SPRINGS HATCHERY,RUSSIAN RIVER,CA,CECA,NORU,N,0,35753,0,289,0
T,4.2,20220601,YAKA,YAKA,11,637837,12,NA,NA,NA,NA,2,7,2020,20220503,20220508,3F42001  300002 R,3F42001  300002 H01,3F42001  270168 S,S,H,P,VO,19.72,118,N,5000,45508,NA,NA,5000,857142,NA,NA,NA,0.0063,14,475,NA,NA,KLICKITAT R  30.0002,KLICKITAT HATCHERY,LEWIS R      27.0168,WA,CECR,KLIC,N,45508,0,857142,0,0
T,4.2,20201119,YAKA,YAKA,11,190526,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,5F33405  H5     21,3F42001  480002 S,S,H,B,FR,21.5,122,N,0000,47945,NA,NA,0000,432,NA,NA,B,0.991,240,500,NA,NA,ICICLE CR    45.0474,CASCADE HATCHERY,METHOW R     48.0002,WA,UPCR,WECH,N,0,47945,0,432,0
T,4.2,20201119,YAKA,YAKA,11,190527,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,5F33301  H1     22,3F42001  480002 S,S,H,B,FR,25.2,130,N,0000,51985,NA,NA,0000,364,NA,NA,B,0.993,240,500,NA,NA,ICICLE CR    45.0474,EAGLE CR NFH,METHOW R     48.0002,WA,UPCR,WECH,N,0,51985,0,364,0
N,4.2,20230619,NWIFC,MIT,14,!142023TQ030,NA,NA,NA,NA,NA,2,3,2021,20230501,20230504,3F10510  090113 R02,3F10510  090113 H02,3F10510  090113 S02,S,H,P,VO,25.2,NA,NA,NA,NA,NA,NA,0000,237024,NA,NA,B,NA,NA,NA,NA,keta stock on site south pond,CRISP CR AT KETA CR,KETA CREEK COMPLEX,KETA CR    STOCK (9),WA,MPS,DUWA,N,0,0,0,237024,0
T,4.2,20201119,YAKA,YAKA,11,190532,13,NA,NA,NA,NA,2,5,2017,20190425,20190425,3F42001  450474 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,FR,20.9,117,N,0000,142929,NA,NA,0000,429,NA,NA,B,0.997,240,500,NA,NA,ICICLE CR    45.0474,WILLARD NFH,METHOW R     48.0002,WA,UPCR,WECH,N,0,142929,0,429,0
T,4.2,20201209,YAKA,YAKA,11,190563,13,NA,NA,NA,NA,2,5,2018,20200424,20200512,3F42001  481408 R,5F33405  H5     21,3F42001  480002 S,S,H,B,VO,27.3,134,N,0000,54058,NA,NA,0000,3861,NA,NA,B,0.067,303,169,NA,"CWT non-ad clipped + 4,205",EARLY WINTERS CREEK,CASCADE HATCHERY,METHOW R     48.0002,WA,UPCR,MEOK,N,0,54058,0,3861,0
T,4.2,20201209,YAKA,YAKA,11,190564,13,NA,NA,NA,NA,2,5,2018,20200417,20200501,3F42001  480374 H01,5F33405  H5     21,3F42001  480002 S,S,H,B,VO,25,129,N,0000,67817,NA,NA,0000,2581,NA,NA,B,0.037,235,187,NA,"CWT non-ad clipped + 4,928",TWISP ACCLIMATION PD,CASCADE HATCHERY,METHOW R     48.0002,WA,UPCR,MEOK,N,0,67817,0,2581,0
T,4.2,20201209,YAKA,YAKA,11,190566,13,NA,NA,NA,NA,2,5,2018,20200417,20200421,3F42001  480728 R,3F42001  290131 H03,3F42001  480002 S,S,H,B,VO,24.7,125,N,0000,85775,NA,NA,0000,1454,NA,NA,B,0.017,285,300,NA,"CWT non-ad clipped + 4,877",CHEWUCH R    48.0728,WILLARD NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,85775,0,1454,0
T,4.2,20201209,YAKA,YAKA,11,190565,13,NA,NA,NA,NA,2,5,2018,20200420,20200522,3F42001  48-001 R,5F33301  H1     22,3F42001  480002 S,S,H,B,VO,30.2,140,N,0000,69699,NA,NA,0000,1909,NA,NA,B,0.027,313,114,NA,"CWT non-ad clipped + 4,378",MID-VALLEY ACCLIMATION PD,EAGLE CR NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,69699,0,1909,0
T,4.2,20230619,NWIFC,MIT,14,211598,13,NA,NA,NA,NA,2,3,2021,20230420,20230425,3F10510  090113 R02,3F10510  090113 H02,3F10510  090113 S02,S,H,P,VO,25.2,131,NA,0000,52533,NA,NA,0000,548373,NA,NA,B,0.012,NA,1000,NA,keta on site north pond,CRISP CR AT KETA CR,KETA CREEK COMPLEX,KETA CR    STOCK (9),WA,MPS,DUWA,N,0,52533,0,548373,0
T,4.2,20201209,YAKA,YAKA,11,190172,13,NA,NA,NA,NA,2,5,2018,20200420,20200522,3F42001  48-001 R,3F42001  480002 H,3F42001  480002 S,S,H,B,VO,30.2,140,N,0000,30080,NA,NA,0000,825,NA,NA,B,0.027,313,49,NA,"CWT non-ad clipped + 4,378",MID-VALLEY ACCLIMATION PD,WINTHROP NFH,METHOW R     48.0002,WA,UPCR,MEOK,N,0,30080,0,825,0
N,4.2,20180914,NWIFC,PUYA,14,!142018VY001,NA,NA,NA,NA,NA,2,3,2016,20180515,20180515,3F10511  100027 H01,3F10511  100414 H,3F10511  100414 S,S,H,P,FR,22.68,125,NA,NA,NA,NA,NA,5000,144190,NA,NA,B,NA,NA,NA,NA,NA,CLARKS CRK HATCHERY,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,N,0,0,144190,0,0
T,4.2,20180328,YAKA,YAKA,11,636856,13,NA,NA,NA,NA,2,7,2014,20160420,20160422,3F42001  300002 H,3F42001  300002 H,3F42001         S96,S,H,P,MX,20.62,112,N,5000,51207,NA,NA,NA,NA,NA,NA,B,NA,NA,NA,NA,AD +CWT,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),LEWIS R +WASHOUGAL R,WA,CECR,KLIC,N,51207,0,0,0,0
